parameter_name	description	category	targeted_group
D150_C	Relative_distance_of_nuclear_brightest_point_in_bud_to_bud_center_on_stage_C	nucleus	C (Nucleus)
D151_C	Distance ratio of two nuclei from neck in nucleus C	nucleus	C (Nucleus)
D152_C	Mobility of nucleus in mother cell in nucleus in nucleus C	nucleus	C (Nucleus)
D153_C	Mobility of nucleus in bud in nucleus C	nucleus	C (Nucleus)
D154_C	Angle_between_C1D1-1_and_C1C1-2_on_stage_A	nucleus	C (Nucleus)
D155_C	Angle_between_C1D2-1_and_C1C1-2_on_stage_A	nucleus	C (Nucleus)
D156_C	Angle_between_C2D1-2_and_C2C4-2_on_stage_C	nucleus	C (Nucleus)
D157_C	Angle_between_C2D2-2_and_C2C4-2_on_stage_C	nucleus	C (Nucleus)
D158_C	Angle_between_D18-1D1-1_and_D18-1C1-2_on_stage_C	nucleus	C (Nucleus)
D159_C	Angle_between_D19-1D2-1_and_D19-1C1-2_on_stage_C	nucleus	C (Nucleus)
D162_C	slope between two nuclei to neck position	nucleus	C (Nucleus)
D163_C	Angle_between_D23D2-1_and_D23C1_on_stage_C	nucleus	C (Nucleus)
D166_C	Angle_between_D18-2D1-2_and_D18-2C4-2_on_stage_C	nucleus	C (Nucleus)
D167_C	Angle_between_D19-2D2-2_and_D19-2C4-2_on_stage_C	nucleus	C (Nucleus)
D169_C	Angle_between_M1D1-1_and_M1C1_on_stage_A1B	nucleus	C (Nucleus)
D170_C	Angle_between_M1D2-1_and_M1C1_on_stage_A1B	nucleus	C (Nucleus)
D173_C	nucleus maximum radius in mother cell	nucleus	C (Nucleus)
D174_C	nucleusmaximum radius in bud	nucleus	C (Nucleus)
D176_C	nucleus diameter in mother cell	nucleus	C (Nucleus)
D177_C	nucleus diameter in bud	nucleus	C (Nucleus)
D179_C	nucleus minimum radius in mother cell	nucleus	C (Nucleus)
D180_C	nucleus minimum radius in bud	nucleus	C (Nucleus)
D182_C	nucleus roundness in mother cell	nucleus	C (Nucleus)
D183_C	nucleus roundness in bud	nucleus	C (Nucleus)
D185_C	distance between nuclei through neck	nucleus	C (Nucleus)
D186_C	Relative_distance_of_two_nuclear_brightest_points_to_middle_point_of_neck_on_stage_C	nucleus	C (Nucleus)
D188_C	Distance_between_nuclear_gravity_center_and_brightest_point_on_stage_A	nucleus	C (Nucleus)
D189_C	Distance_between_nuclear_gravity_center_and_brightest_point_in_bud	nucleus	C (Nucleus)
D191_C	Average of nuclear brightness in mother cell	nucleus	C (Nucleus)
D192_C	Average_of_nuclear_brightness_in_bud	nucleus	C (Nucleus)
D193_C	Average of nuclear brightness in whole cell	nucleus	C (Nucleus)
D194_C	Maximal_intensity_of_nuclear_brightness_divided_by_average	nucleus	C (Nucleus)
D195_C	Maximal_intensity_of_nuclear_brightness_divided_by_average_in_mother	nucleus	C (Nucleus)
D196_C	Maximal_intensity_of_nuclear_brightness_divided_by_average	nucleus	C (Nucleus)
D197_C	nuclei size ratio	nucleus	C (Nucleus)
D198_C	Ratio_of_nuclear_brightness	nucleus	C (Nucleus)
CCV11-1_A	Mother cell size on nucleus A	cell wall	A (Nucleus)
CCV12-1_A	Contour length of mother cell on nucleus A	cell wall	A (Nucleus)
CCV13_A	Fitness in nucleus A	cell wall	A (Nucleus)
CCV103_A	Long axis length of mother cell on nucleus A	cell wall	A (Nucleus)
CCV104_A	Short axis length of mother cell on nucleus A	cell wall	A (Nucleus)
CCV115_A	Roundness of mother cell on nucleus A	cell wall	A (Nucleus)
CCV126_A	Unevenness of brightness on nucleus A	cell wall	A (Nucleus)
CCV127_A	Unevenness of cell wall thickness on nucleus A	cell wall	A (Nucleus)
ACV7-1_A	Actin region size in mother cell on nucleus A	actin	A (Nucleus)
ACV8-1_A	Actin region brightness in mother cell on nucleus A	actin	A (Nucleus)
ACV101_A	Actin region ratio on nucleus A	actin	A (Nucleus)
ACV120_A	Total length of actin patch link on nucleus A	actin	A (Nucleus)
ACV121_A	Maximam actin patch length on nucleus A	actin	A (Nucleus)
ACV122_A	Number of actin patches on nucleus A	actin	A (Nucleus)
ACV123_A	Ratio of actin patch region to actin region on nucleus A	actin	A (Nucleus)
DCV14-1_A	Area of nucleus region in mother cell in nucleus A	nucleus	A (Nucleus)
DCV15-1_A	Sum of brightness in nucleus region in mother cell in nucleus A	nucleus	A (Nucleus)
DCV16-1_A	Maximum brightness of a nucleus in the mother cell	nucleus	A (Nucleus)
DCV17-1_A	Fitness to ellipse of the nucleus in the mother cell	nucleus	A (Nucleus)
DCV102_A	Distance from nuclear center to mother tip in nucleus A	nucleus	A (Nucleus)
DCV105_A	Ratio of D102 to C103 in nucleus A	nucleus	A (Nucleus)
DCV117_A	Distance from mother cell's center to nucleus in nucleus A	nucleus	A (Nucleus)
DCV127_A	Distance_between_nuclear_brightest_point_and_cell_tip	nucleus	A (Nucleus)
DCV135_A	Distance_between_nuclear_brightest_point_and_cell_center	nucleus	A (Nucleus)
DCV147_A	Relative_distance_of_nuclear_gravity_center_to_cell_center_on_stage_A	nucleus	A (Nucleus)
DCV148_A	Relative_distance_of_nuclear_brightest_point_to_cell_center_on_stage_A	nucleus	A (Nucleus)
DCV154_A	Angle_between_C1D1-1_and_C1C1-2_on_stage_A	nucleus	A (Nucleus)
DCV155_A	Angle_between_C1D2-1_and_C1C1-2_on_stage_A	nucleus	A (Nucleus)
DCV173_A	nucleus maximum radius in mother cell	nucleus	A (Nucleus)
DCV176_A	nucleus diameter in mother cell	nucleus	A (Nucleus)
DCV179_A	nucleus minimum radius in mother cell	nucleus	A (Nucleus)
DCV182_A	nucleus roundness in mother cell	nucleus	A (Nucleus)
DCV188_A	Distance_between_nuclear_gravity_center_and_brightest_point_on_stage_A	nucleus	A (Nucleus)
DCV191_A	Average_of_nuclear_brightness	nucleus	A (Nucleus)
DCV194_A	Maximal_intensity_of_nuclear_brightness_divided_by_average	nucleus	A (Nucleus)
CCV11-1_A1B	Mother cell size on nucleus A1B	cell wall	A1 & B (Nucleus)
CCV11-2_A1B	Area of daughter cell on nucleus A1B	cell wall	A1 & B (Nucleus)
CCV12-1_A1B	Contour length of mother cell on nucleus A1B	cell wall	A1 & B (Nucleus)
